element,x,y,z
O,1.3891,-2.3195,-0.2888
O,-2.1177,1.253,-1.4919
O,-2.8589,1.2984,0.6525
C,-1.7466,-0.7075,-0.1753
C,-0.6686,-0.7486,0.9201
C,0.6565,-0.1729,0.4858
C,-2.8801,-1.7024,0.0849
C,1.6148,-0.9898,-0.0958
C,-2.3083,0.7027,-0.2643
C,0.8911,1.1806,0.6806
C,2.8348,-0.4412,-0.4915
C,2.111,1.7291,0.2849
C,3.0829,0.9181,-0.3011
H,-1.2989,-0.9661,-1.1438
H,-1.0113,-0.2244,1.823
H,-0.5138,-1.7851,1.2478
H,-3.6502,-1.6239,-0.6901
H,-2.5022,-2.7299,0.0889
H,-3.3614,-1.5105,1.0501
H,0.1443,1.8228,1.1387
H,3.6011,-1.0611,-0.9494
H,2.3046,2.7873,0.4337
H,4.0328,1.3452,-0.609
H,2.1723,-2.7171,-0.7064
H,-2.4738,2.1656,-1.5422
