element,x,y,z
C,0.6558,0.3935,0.0001
C,-0.6558,-0.3932,0.0227
C,1.8649,-0.5413,-0.0114
C,-1.865,0.5414,0.0001
C,3.1709,0.2369,-0.0001
C,-3.1709,-0.2372,-0.0115
H,0.684,1.0388,-0.8865
H,0.7045,1.0489,0.8783
H,-0.693,-1.0225,0.9203
H,-0.6952,-1.0642,-0.8441
H,1.8337,-1.2015,0.8633
H,1.8334,-1.1803,-0.9015
H,-1.8442,1.1983,0.8775
H,-1.8234,1.1837,-0.8874
H,3.2485,0.8856,-0.8784
H,4.0222,-0.451,-0.0096
H,3.2483,0.8607,0.8961
H,-3.2373,-0.8791,-0.8958
H,-3.2592,-0.8681,0.8788
H,-4.0221,0.4505,-0.0263
